Call / Put,Stock Symbol,Date and Time,Stock Price,Last Trade Date,Strike,Last Price,Bid,Ask
,,,,,,,,
Call,XLU,At close:  4:00PM EDT,52.83,2018-07-26 8:52PM EDT,44.5,7.84,5.8,10.4
Call,XLU,At close:  4:00PM EDT,52.83,2018-07-26 8:52PM EDT,46.5,5.45,3.85,8.5
Call,XLU,At close:  4:00PM EDT,52.83,2018-07-06 10:34AM EDT,48.5,4.57,3.8,3.9
Call,XLU,At close:  4:00PM EDT,52.83,2018-07-26 3:56PM EDT,49,3.86,3.55,3.9
Call,XLU,At close:  4:00PM EDT,52.83,2018-07-25 4:07PM EDT,49.5,2.71,3.05,3.4
Call,XLU,At close:  4:00PM EDT,52.83,2018-07-26 3:01PM EDT,50,2.72,2.59,2.87
Call,XLU,At close:  4:00PM EDT,52.83,2018-07-26 3:51PM EDT,50.5,2.33,2.09,2.38
Call,XLU,At close:  4:00PM EDT,52.83,2018-07-26 3:08PM EDT,51,1.67,1.6,1.88
Call,XLU,At close:  4:00PM EDT,52.83,2018-07-26 3:49PM EDT,51.5,1.33,1.1,1.38
Call,XLU,At close:  4:00PM EDT,52.83,2018-07-26 3:59PM EDT,52,0.86,0.62,0.91
,,,,,,,,
Put,XLU,At close:  4:00PM EDT,52.83,2018-07-26 8:52PM EDT,42,0.03,0,0.02
Put,XLU,At close:  4:00PM EDT,52.83,2018-07-26 8:52PM EDT,42.5,0.01,0,0.02
Put,XLU,At close:  4:00PM EDT,52.83,2018-07-06 10:34AM EDT,44,0.04,0,0.02
Put,XLU,At close:  4:00PM EDT,52.83,2018-07-26 3:56PM EDT,45,0.19,0,0.02
Put,XLU,At close:  4:00PM EDT,52.83,2018-07-25 4:07PM EDT,45.5,0.02,0,0.02
Put,XLU,At close:  4:00PM EDT,52.83,2018-07-26 3:01PM EDT,46,0.02,0,0.13
Put,XLU,At close:  4:00PM EDT,52.83,2018-07-26 3:51PM EDT,46.5,0.04,0.02,0.02
Put,XLU,At close:  4:00PM EDT,52.83,2018-07-26 3:08PM EDT,47,0.03,0,0.02
Put,XLU,At close:  4:00PM EDT,52.83,2018-07-26 3:49PM EDT,47.5,0.03,0,0.02
Put,XLU,At close:  4:00PM EDT,52.83,2018-07-26 3:59PM EDT,48,0.03,0,0.02
,,,,,,,,
Call,XLI,At close:  4:00PM EDT,76,2018-07-02 10:08AM EDT,67,4.65,5.25,9.8
Call,XLI,At close:  4:00PM EDT,76,2018-07-16 11:33AM EDT,67.5,6.15,4.8,9.4
Call,XLI,At close:  4:00PM EDT,76,2018-07-26 9:03PM EDT,68.5,5.55,5.2,9.75
Call,XLI,At close:  4:00PM EDT,76,2018-07-09 11:37AM EDT,69.5,4.05,2.85,7.4
Call,XLI,At close:  4:00PM EDT,76,2018-07-20 10:51AM EDT,70,4.45,4.3,4.8
Call,XLI,At close:  4:00PM EDT,76,2018-07-06 1:04PM EDT,70.5,2.38,1.65,6.3
Call,XLI,At close:  4:00PM EDT,76,2018-07-10 3:32PM EDT,71,3.01,1.43,5.8
Call,XLI,At close:  4:00PM EDT,76,2018-07-16 1:22PM EDT,71.5,2.28,0.9,5.4
Call,XLI,At close:  4:00PM EDT,76,2018-07-16 2:42PM EDT,72,1.76,1.26,4.2
Call,XLI,At close:  4:00PM EDT,76,2018-07-25 11:04AM EDT,72.5,1.79,3.35,3.8
,,,,,,,,
Put,XLI,At close:  4:00PM EDT,76,2018-07-02 10:08AM EDT,65,0.25,0.18,0.2
Put,XLI,At close:  4:00PM EDT,76,2018-07-16 11:33AM EDT,67.5,0.01,0.3,0.07
Put,XLI,At close:  4:00PM EDT,76,2018-07-26 9:03PM EDT,68.5,0.33,0.49,0.17
Put,XLI,At close:  4:00PM EDT,76,2018-07-09 11:37AM EDT,69,0.06,0,0.08
